Actual PER,Predicited PER,Difference
0.29,0.2964621717931839,-0.006462171793183924
0.07,0.3102044299470651,-0.2402044299470651
0.25,0.3000115886516395,-0.050011588651639516
0.24,0.23665328211618009,0.003346717883819905
0.15,0.2170343617975694,-0.06703436179756941
0.14,0.3000348818766115,-0.16003488187661147
0.75,0.3603814074562685,0.3896185925437315
0.07,0.2044548808001573,-0.1344548808001573
0.16,0.3380919536321958,-0.1780919536321958
0.66,0.26829513943015487,0.39170486056984516
0.58,0.46866942292228086,0.1113305770777191
0.28,0.30961721796124253,-0.029617217961242503
0.07,0.23472252664540708,-0.16472252664540707
0.14,0.3983159077153769,-0.2583159077153769
0.32,0.4008812476312111,-0.08088124763121107
0.14,0.29147525518115636,-0.15147525518115634
0.18,0.2914004080744471,-0.11140040807444712
0.14,0.41431946561994387,-0.27431946561994386
0.25,0.24882093989599505,0.001179060104004953
0.31,0.29659754705409935,0.013402452945900645
0.18,0.3705522946556859,-0.1905522946556859
0.43,0.49898406970985226,-0.06898406970985227
0.26,0.23698516795576643,0.023014832044233574
0.52,0.450127371347526,0.06987262865247401
0.25,0.3401189270835892,-0.0901189270835892
0.18,0.27115457477210037,-0.09115457477210037
0.24,0.36156922644658757,-0.12156922644658757
0.11,0.20824387297315794,-0.09824387297315794
0.21,0.22768832667709565,-0.01768832667709566
0.25,0.4344420067896633,-0.18444200678966333
0.17,0.18473762713604314,-0.014737627136043124
0.56,0.15060228756832067,0.4093977124316794
0.18,0.4206876082851986,-0.24068760828519858
0.16,0.1720819324488213,-0.012081932448821303
0.33,0.3106339481238188,0.019366051876181234
0.99,0.1590986823012157,0.8309013176987843
0.26,0.34557973885066223,-0.08557973885066222
0.13,0.27896361718662743,-0.14896361718662743
0.22,0.24591098657826735,-0.025910986578267348
0.52,0.42426700175533777,0.09573299824466225
0.11,0.17342522447996822,-0.06342522447996822
0.18,0.2862938145979896,-0.10629381459798959
0.56,0.18723597006771375,0.3727640299322863
0.09,0.24989088143061589,-0.1598908814306159
0.23,0.23820383775460052,-0.008203837754600513
0.3,0.4019687043727124,-0.10196870437271244
0.33,0.4406877064643357,-0.11068770646433568
0.2,0.2826070490935182,-0.08260704909351818
0.25,0.33527813079548774,-0.08527813079548774
0.33,0.4683789397038488,-0.1383789397038488
0.35,0.3655854154720843,-0.015585415472084307
0.17,0.13719290889214672,0.03280709110785329
0.1,0.16637522234028487,-0.06637522234028487
0.37,0.3072492286165402,0.0627507713834598
0.48,0.4154896263505734,0.06451037364942658
0.38,0.3741015536015529,0.00589844639844711
0.18,0.2647740139337435,-0.08477401393374351
0.27,0.24399189495337198,0.02600810504662804
0.15,0.4797391605660783,-0.3297391605660783
0.18,0.1706817634881148,0.00931823651188518
0.23,0.2221200839420251,0.007879916057974917
0.13,0.2926034716354616,-0.16260347163546157
0.25,0.3606276192430674,-0.11062761924306741
0.16,0.2937523400418863,-0.13375234004188627
0.1,0.16907251416994407,-0.06907251416994406
0.23,0.2783755543666194,-0.04837555436661942
0.19,0.26814528389208697,-0.07814528389208697
0.21,0.20142791212535016,0.00857208787464983
0.0,0.16611808095472846,-0.16611808095472846
0.16,0.3381490027652756,-0.1781490027652756
0.09,0.19504584824381918,-0.10504584824381918
0.12,0.13601257384639898,-0.01601257384639898
0.18,0.20187913380074646,-0.021879133800746464
0.23,0.22438296966266788,0.0056170303373321295
0.52,0.45427513064866143,0.06572486935133859
0.31,0.2587447815078138,0.05125521849218617
0.15,0.36493444105732054,-0.21493444105732054
0.31,0.35326011207921243,-0.04326011207921243
0.2,0.26611822681556746,-0.06611822681556745
0.16,0.22559534783391322,-0.06559534783391321
0.18,0.3132123521796287,-0.13321235217962868
0.19,0.26871845160437036,-0.07871845160437035
0.14,0.2153233661216233,-0.0753233661216233
