time,open,high,low,close,volume
2023-06-02 19:00:00,132.3,132.3,132.3,132.3,252
2023-06-02 18:00:00,132.3,132.3,132.3,132.3,775
2023-06-02 17:00:00,132.3,132.3,132.3,132.3,926
2023-06-02 16:00:00,132.42,133.0,132.11,132.23,285334
2023-06-02 15:00:00,132.82,132.885,132.3,132.37,1015578
2023-06-02 14:00:00,133.07,133.095,132.67,132.805,315692
2023-06-02 13:00:00,132.73,133.12,132.49,133.0746,388406
2023-06-02 12:00:00,132.66,133.11,132.48,132.739,483597
2023-06-02 11:00:00,132.359,133.09,132.11,132.655,952924
2023-06-02 10:00:00,130.97,132.3539,130.77,132.35,788390
2023-06-02 09:00:00,130.2,131.36,130.02,130.97,402610
2023-06-02 08:00:00,130.47,130.47,130.23,130.23,1905
2023-06-02 07:00:00,130.36,130.36,130.36,130.36,199
2023-06-01 19:00:00,129.82,130.0,129.82,130.0,324
2023-06-01 18:00:00,129.9,129.9,129.9,129.9,100
2023-06-01 17:00:00,130.0,130.0,130.0,130.0,782
2023-06-01 16:00:00,129.82,130.14,129.82,130.14,142983
2023-06-01 15:00:00,129.93,130.145,129.69,129.82,924728
2023-06-01 14:00:00,129.465,129.94,129.42,129.9374,434298
2023-06-01 13:00:00,129.54,129.66,129.24,129.46,304525
2023-06-01 12:00:00,129.68,129.785,129.47,129.52,301754
2023-06-01 11:00:00,129.0,129.675,128.92,129.645,327211
2023-06-01 10:00:00,127.93,129.17,127.78,129.005,487480
2023-06-01 09:00:00,128.51,128.912,127.85,127.92,305179
2023-06-01 08:00:00,128.4973,128.59,128.4,128.59,808
2023-05-31 18:00:00,128.58,128.78,128.58,128.78,966
2023-05-31 16:00:00,128.59,128.85,128.57,128.5902,689883
2023-05-31 15:00:00,128.12,128.98,127.835,128.61,2150552
2023-05-31 14:00:00,127.95,128.25,127.92,128.1,409031
2023-05-31 13:00:00,127.68,128.02,127.56,127.915,312741
2023-05-31 12:00:00,127.935,127.955,127.46,127.68,413163
2023-05-31 11:00:00,128.55,128.65,127.85,127.94,497404
2023-05-31 10:00:00,128.86,128.9,128.49,128.57,531672
2023-05-31 09:00:00,128.51,129.44,128.48,128.835,376857
2023-05-31 08:00:00,128.87,128.87,128.82,128.82,1970
2023-05-31 07:00:00,128.97,128.97,128.97,128.97,295
2023-05-31 06:00:00,128.8,128.8,128.8,128.8,723
2023-05-31 05:00:00,128.84,128.87,128.84,128.87,1000
2023-05-30 19:00:00,128.89,128.96,128.89,128.96,755
2023-05-30 18:00:00,128.75,128.75,128.74,128.74,243
2023-05-30 17:00:00,128.85,128.95,128.2501,128.2501,2447
2023-05-30 16:00:00,129.48,129.48,128.47,128.88,155581
2023-05-30 15:00:00,128.95,129.61,128.9,129.47,982907
2023-05-30 14:00:00,128.875,129.22,128.67,128.965,276036
2023-05-30 13:00:00,129.18,129.2657,128.78,128.85,272362
2023-05-30 12:00:00,128.94,129.27,128.64,129.17,265920
2023-05-30 11:00:00,128.43,128.96,128.27,128.94,338524
2023-05-30 10:00:00,129.0903,129.23,128.26,128.45,563479
2023-05-30 09:00:00,129.0533,130.0699,129.0533,129.07,419274
2023-05-30 08:00:00,129.7,129.7,129.0,129.0609,2627
2023-05-30 07:00:00,129.6,129.6,129.0,129.0,3786
2023-05-30 06:00:00,130.19,130.49,129.6,129.6,2402
2023-05-30 05:00:00,129.87,129.87,129.6,129.7,1769
2023-05-26 19:00:00,129.0,129.0,129.0,129.0,100
2023-05-26 17:00:00,128.9,128.9,128.9,128.9,500
2023-05-26 16:00:00,128.89,128.89,128.6,128.89,188269
2023-05-26 15:00:00,128.69,129.19,128.69,128.89,1243151
2023-05-26 14:00:00,128.9,129.02,128.62,128.68,368668
2023-05-26 13:00:00,129.25,129.43,128.815,128.9002,437116
2023-05-26 12:00:00,129.1,129.66,128.95,129.25,850462
2023-05-26 11:00:00,129.2,129.3513,128.63,129.1,666180
2023-05-26 10:00:00,127.89,129.34,127.87,129.195,815254
2023-05-26 09:00:00,126.75,128.4,126.4,127.9,380534
2023-05-26 08:00:00,126.74,126.74,126.5,126.7,2254
2023-05-26 07:00:00,126.74,126.74,126.74,126.74,1146
2023-05-25 19:00:00,126.7,126.7,126.7,126.7,174
2023-05-25 17:00:00,126.47,126.47,126.47,126.47,100
2023-05-25 16:00:00,126.76,126.76,126.51,126.58,157647
2023-05-25 15:00:00,126.52,127.23,126.48,126.77,967654
2023-05-25 14:00:00,126.45,126.81,126.3,126.51,281851
2023-05-25 13:00:00,125.65,126.45,125.535,126.45,281754
2023-05-25 12:00:00,125.35,125.92,125.35,125.64,431180
2023-05-25 11:00:00,126.13,126.33,125.06,125.34,502642
2023-05-25 10:00:00,126.35,126.53,125.9001,126.115,432518
2023-05-25 09:00:00,125.8,126.65,125.01,126.35,435376
2023-05-25 08:00:00,125.2,125.92,125.2,125.92,2689
2023-05-25 07:00:00,125.94,125.94,125.4,125.4,4453
2023-05-25 06:00:00,125.73,125.95,125.73,125.95,669
2023-05-24 19:00:00,125.88,125.9499,125.88,125.9499,2200
2023-05-24 18:00:00,125.9,126.03,125.7,125.7,5964
2023-05-24 17:00:00,125.9,126.0,125.9,126.0,3725
2023-05-24 16:00:00,125.68,126.0,125.68,125.9,69551
2023-05-24 15:00:00,125.73,126.35,125.58,125.69,949778
2023-05-24 14:00:00,125.92,125.955,125.47,125.73,334454
2023-05-24 13:00:00,125.87,125.99,125.65,125.895,279785
2023-05-24 12:00:00,125.85,125.9712,125.47,125.87,299973
2023-05-24 11:00:00,126.305,126.3399,125.85,125.87,575562
2023-05-24 10:00:00,126.01,127.82,125.84,126.3,460474
2023-05-24 09:00:00,127.75,127.9,125.96,126.025,391540
2023-05-24 07:00:00,127.72,127.72,127.72,127.72,200
2023-05-24 05:00:00,127.95,127.95,127.82,127.82,225
2023-05-23 17:00:00,128.18,128.18,128.18,128.18,100
2023-05-23 16:00:00,128.18,128.18,127.92,127.92,53459
2023-05-23 15:00:00,128.32,128.68,128.04,128.18,1131702
2023-05-23 14:00:00,128.43,128.51,127.67,128.33,679000
2023-05-23 13:00:00,128.49,129.09,128.31,128.44,479642
2023-05-23 12:00:00,128.235,128.59,128.105,128.45,456568
2023-05-23 11:00:00,127.48,128.3099,127.32,128.21,370062
2023-05-23 10:00:00,127.4,127.62,127.14,127.49,251176
2023-05-23 09:00:00,127.03,127.94,127.03,127.39,224389
2023-05-23 08:00:00,127.0,127.35,127.0,127.35,1433
2023-05-23 05:00:00,127.21,127.21,127.21,127.21,374
2023-05-22 18:00:00,127.5,127.5,127.32,127.32,1103
2023-05-22 17:00:00,127.5,127.5,127.5,127.5,12492
2023-05-22 16:00:00,127.5,127.7,127.5,127.7,54536
2023-05-22 15:00:00,127.7992,127.83,127.47,127.53,549530
2023-05-22 14:00:00,127.45,127.94,127.41,127.8,267905
2023-05-22 13:00:00,127.45,127.585,127.26,127.45,282428
2023-05-22 12:00:00,127.71,127.74,127.29,127.47,222556
2023-05-22 11:00:00,127.88,128.02,127.395,127.7,271801
2023-05-22 10:00:00,127.41,127.84,127.15,127.832,432984
2023-05-22 09:00:00,127.46,128.19,127.27,127.4327,326461
2023-05-22 08:00:00,127.2,127.58,127.2,127.35,2092
2023-05-22 07:00:00,127.2,127.2,127.2,127.2,273
2023-05-19 18:00:00,127.19,127.19,127.19,127.19,681
2023-05-19 16:00:00,127.26,127.75,127.01,127.01,88826
2023-05-19 15:00:00,127.82,127.8621,127.24,127.26,719737
2023-05-19 14:00:00,127.71,127.93,127.5901,127.82,411670
2023-05-19 13:00:00,127.705,127.92,127.57,127.68,385360
2023-05-19 12:00:00,127.53,127.74,127.142,127.69,278301
2023-05-19 11:00:00,127.94,128.05,127.36,127.53,563763
2023-05-19 10:00:00,127.035,128.29,127.035,127.9437,705130
2023-05-19 09:00:00,126.72,127.42,126.55,127.058,448428
2023-05-19 08:00:00,125.52,126.5599,125.52,126.5399,2101
2023-05-19 07:00:00,125.77,125.77,125.77,125.77,570
2023-05-18 19:00:00,126.27,126.27,126.16,126.16,3001
2023-05-18 18:00:00,126.2,126.25,126.2,126.25,1218
2023-05-18 17:00:00,126.3655,126.3655,126.03,126.03,205
2023-05-18 16:00:00,126.15,126.15,126.0,126.02,61793
2023-05-18 15:00:00,126.0,126.51,125.83,126.16,921039
2023-05-18 14:00:00,125.695,126.16,125.665,125.9999,348864
2023-05-18 13:00:00,125.51,125.91,125.4678,125.69,279244
2023-05-18 12:00:00,125.83,125.88,125.3718,125.515,336743
2023-05-18 11:00:00,125.67,125.96,125.46,125.825,391236
2023-05-18 10:00:00,125.47,126.03,125.27,125.66,456178
2023-05-18 09:00:00,125.67,125.7,125.1894,125.47,280268
2023-05-18 08:00:00,125.8,125.9,125.36,125.36,2795
2023-05-18 07:00:00,125.64,125.7,125.59,125.7,1192
2023-05-18 06:00:00,125.65,125.65,125.65,125.65,200
2023-05-17 18:00:00,125.6,125.6,125.6,125.6,478
2023-05-17 17:00:00,125.7821,125.7821,125.7821,125.7821,380
2023-05-17 16:00:00,125.71,125.83,125.5,125.83,109388
2023-05-17 15:00:00,125.125,125.85,125.0836,125.71,1169249
2023-05-17 14:00:00,125.46,125.5,125.08,125.12,322489
2023-05-17 13:00:00,125.14,125.5,125.09,125.4582,313539
2023-05-17 12:00:00,125.13,125.54,124.87,125.1665,549315
2023-05-17 11:00:00,124.34,125.19,124.216,125.12,624441
2023-05-17 10:00:00,123.82,124.33,123.7,124.32,359665
2023-05-17 09:00:00,123.75,124.18,123.4,123.78,328125
2023-05-17 08:00:00,123.82,123.86,123.65,123.75,1734
