Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
DÄvis BertÄns,45,4.29,1.12,0.47,0.19,0.19,0.19,3.36,1.4,0.28,0.28,2.89,1.12,0.09
Patrick Beverley,67,4.75,2.83,2.22,0.69,0.46,0.69,4.13,1.61,0.77,0.54,2.76,0.92,0.11
Patrick Beverley,45,7.23,3.5,2.94,1.02,0.68,1.02,6.1,2.49,1.24,1.02,3.96,1.36,0.24
Patrick Beverley,22,7.96,6.73,4.81,1.37,0.96,1.1,7.41,2.88,0.96,0.55,5.08,1.51,0.71
Saddiq Bey,77,9.13,3.11,0.99,0.6,0.13,0.6,7.21,3.04,2.05,1.79,3.57,1.32,0.12
Saddiq Bey,52,15.84,5.03,1.71,1.07,0.21,1.07,12.52,5.03,4.28,3.75,5.99,2.03,0.29
Saddiq Bey,25,15.46,6.4,1.87,1.07,0.0,0.93,12.26,5.73,1.6,1.33,6.66,2.67,0.68
Khem Birch,20,2.69,1.59,0.49,0.37,0.37,0.49,1.96,1.22,0.37,0.24,0.12,0.12,0.21
Goga Bitadze,38,4.83,3.95,1.1,0.44,0.77,0.66,3.62,1.98,1.21,0.66,0.77,0.22,0.22
Goga Bitadze,21,4.03,2.81,1.1,0.49,0.61,0.73,3.05,1.59,1.34,0.61,0.86,0.24,0.29
Goga Bitadze,17,7.54,6.76,1.56,0.52,1.17,0.78,5.59,3.25,1.43,0.91,0.91,0.13,0.82
Bismack Biyombo,61,3.68,3.68,0.77,0.26,1.2,0.68,2.91,1.71,0.94,0.34,0.0,0.0,0.12
Buddy Boeheim,10,2.37,0.89,0.59,0.3,0.0,0.0,4.0,0.74,0.3,0.3,3.71,0.59,0.09
Bogdan BogdanoviÄ‡,54,15.56,3.45,3.11,0.89,0.33,1.33,12.56,5.67,1.56,1.33,7.45,3.0,0.28
Bojan BogdanoviÄ‡,59,24.32,4.28,2.93,0.68,0.11,2.59,16.78,8.22,5.74,5.07,6.76,2.82,0.35
Bol Bol,70,10.38,6.62,1.14,0.46,1.37,1.82,7.76,4.22,1.71,1.37,1.82,0.46,0.21
Leandro Bolmaro,14,0.55,0.68,0.68,0.27,0.14,0.68,1.91,0.27,0.0,0.0,0.41,0.0,0.0
Devin Booker,53,31.84,5.15,6.3,1.15,0.34,3.09,23.02,11.34,7.79,6.64,6.87,2.41,0.55
Brandon Boston Jr.,22,6.61,1.42,0.92,0.41,0.0,0.51,5.59,2.34,1.73,1.32,1.32,0.51,0.23
Chris Boucher,76,6.63,3.88,0.28,0.42,0.56,0.35,4.94,2.4,1.55,1.2,1.76,0.56,0.11
James Bouknight,34,6.56,2.46,1.41,0.47,0.12,1.05,6.68,2.34,1.05,0.7,3.75,1.17,0.15
Jamaree Bouyea,5,3.34,1.33,0.89,0.89,0.44,0.89,3.11,1.33,0.44,0.22,1.33,0.44,0.8
Jamaree Bouyea,4,2.98,1.02,0.79,0.79,0.39,0.79,2.59,1.18,0.39,0.24,1.02,0.39,0.9
Jamaree Bouyea,1,0.0,1.65,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,1.65,0.0,0.0
Tony Bradley,12,1.98,1.11,0.12,0.12,0.12,0.12,1.24,0.62,0.37,0.37,0.49,0.37,0.22
Malaki Branham,66,7.84,2.07,1.46,0.38,0.08,0.92,7.14,3.15,0.85,0.69,3.0,0.92,0.1
Jarrell Brantley,4,2.13,0.58,0.31,0.0,0.19,0.19,1.36,0.78,0.19,0.19,0.89,0.39,0.61
Christian Braun,76,1.62,0.83,0.28,0.17,0.07,0.17,1.31,0.66,0.28,0.17,0.45,0.14,0.03
Mikal Bridges,83,13.51,2.96,2.22,0.74,0.47,1.01,10.28,4.77,2.89,2.55,3.56,1.34,0.15
Mikal Bridges,56,18.61,4.65,3.9,1.3,0.87,1.52,14.72,6.82,3.35,3.03,5.09,1.95,0.35
Mikal Bridges,27,35.39,6.1,3.66,1.36,0.81,2.44,25.22,12.07,8.95,8.0,9.09,3.39,1.14
Oshae Brissett,65,3.55,1.98,0.41,0.29,0.12,0.29,2.85,1.11,1.28,0.93,1.4,0.41,0.06
Malcolm Brogdon,67,11.71,3.3,2.91,0.55,0.24,1.18,8.57,4.17,2.12,1.89,3.46,1.57,0.19
Dillon Brooks,73,9.79,2.26,1.78,0.62,0.14,0.96,9.31,3.7,1.44,1.1,4.11,1.37,0.1
Bruce Brown,80,7.31,2.61,2.16,0.7,0.38,0.95,5.91,2.86,1.21,0.95,2.04,0.7,0.11
Greg Brown III,16,2.26,1.51,0.25,0.38,0.38,0.5,2.26,0.88,1.01,0.38,0.5,0.13,0.14
Jaylen Brown,67,36.96,9.59,4.86,1.53,0.56,4.03,28.63,14.04,7.09,5.42,10.14,3.34,0.5
Kendall Brown,6,1.7,1.13,0.57,0.79,0.0,0.34,1.36,0.79,0.34,0.23,0.23,0.0,0.53
Moses Brown,36,4.01,3.64,0.09,0.09,0.37,0.37,2.52,1.59,1.87,0.84,0.0,0.0,0.16
Moses Brown,34,4.44,3.96,0.1,0.1,0.39,0.39,2.71,1.74,2.03,0.97,0.0,0.0,0.19
Moses Brown,2,0.0,0.0,0.0,0.82,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sterling Brown,4,0.0,2.09,0.52,0.84,0.0,0.0,1.04,0.0,0.0,0.0,0.52,0.0,0.6
Troy Brown Jr.,76,4.27,2.46,0.78,0.48,0.12,0.36,3.67,1.56,0.3,0.24,2.22,0.84,0.07
Jalen Brunson,68,12.99,1.89,3.36,0.49,0.11,1.14,9.52,4.65,3.14,2.6,2.54,1.08,0.18
Thomas Bryant,59,8.78,5.1,0.45,0.27,0.45,0.54,5.64,3.49,1.88,1.43,0.9,0.36,0.21
Thomas Bryant,41,15.07,8.47,0.87,0.37,0.75,0.87,9.09,5.98,3.24,2.49,1.49,0.62,0.51
Thomas Bryant,18,5.88,4.22,0.13,0.13,0.51,0.77,4.86,2.3,1.28,0.89,0.64,0.26,0.4
Reggie Bullock,78,4.35,2.17,0.84,0.42,0.12,0.3,3.62,1.51,0.3,0.18,3.08,1.15,0.07
Alec Burks,51,11.5,2.79,1.98,0.63,0.18,0.99,8.09,3.5,3.32,2.7,4.22,1.71,0.22
Deonte Burton,2,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.99,0.0,-0.99
Jared Butler,6,5.21,0.59,1.09,0.67,0.0,0.67,4.45,2.1,0.0,0.0,1.93,1.01,0.76
Jimmy Butler,64,13.43,3.46,3.11,1.06,0.18,0.94,8.15,4.4,5.1,4.34,0.94,0.35,0.25
John Butler,19,3.19,1.2,0.8,0.53,0.66,0.13,3.72,1.2,0.27,0.27,2.39,0.53,0.2
Jamal Cain,18,6.16,3.31,0.8,0.68,0.11,0.34,4.22,2.4,1.37,1.03,1.25,0.46,0.48
Kentavious Caldwell-Pope,76,6.99,1.75,1.55,0.97,0.32,0.71,5.37,2.46,1.04,0.91,2.72,1.17,0.1
Facundo Campazzo,8,1.71,0.39,1.44,1.05,0.0,0.52,2.1,0.52,0.39,0.13,1.84,0.52,0.28
Vlatko ÄŒanÄar,60,3.35,1.41,0.87,0.27,0.13,0.4,2.55,1.21,0.47,0.4,1.27,0.47,0.07
Clint Capela,65,14.3,13.11,1.07,0.83,1.43,0.95,9.77,6.43,2.38,1.43,0.0,0.0,0.39
Vernon Carey Jr.,11,0.65,1.31,0.39,0.26,0.26,0.26,0.91,0.26,0.26,0.26,0.0,0.0,0.18
Jevon Carter,81,3.78,1.18,1.13,0.38,0.19,0.47,3.31,1.42,0.24,0.19,1.98,0.85,0.05
Wendell Carter Jr.,57,20.64,11.81,3.12,0.68,0.81,2.58,14.66,7.6,4.62,3.39,5.29,1.9,0.46
Michael Carter-Williams,4,2.46,0.74,1.03,0.17,0.17,0.57,2.01,0.86,1.03,0.57,0.46,0.17,0.6
Alex Caruso,67,4.33,2.24,2.24,1.16,0.54,0.85,3.32,1.47,0.85,0.7,1.78,0.62,0.12
Julian Champagnie,17,13.49,4.87,0.83,0.56,0.42,0.83,10.57,4.87,1.39,1.11,6.67,2.64,0.78
Julian Champagnie,2,0.0,0.0,0.0,0.88,0.0,0.0,1.77,0.0,0.0,0.0,0.88,0.0,-0.44
Julian Champagnie,15,14.82,5.39,0.94,0.4,0.4,0.94,11.45,5.25,1.48,1.21,7.27,2.96,0.97
Justin Champagnie,5,2.18,1.58,0.79,0.2,0.0,0.0,2.97,0.99,0.0,0.0,0.99,0.2,0.55
Justin Champagnie,3,0.88,0.57,0.13,0.0,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.53
Justin Champagnie,2,1.96,1.57,1.18,0.39,0.0,0.0,4.71,0.78,0.0,0.0,1.96,0.39,0.59
Kennedy Chandler,36,1.9,0.95,1.38,0.26,0.09,0.43,1.98,0.86,0.34,0.17,0.34,0.09,0.08
Max Christie,41,2.86,1.66,0.46,0.18,0.18,0.28,2.4,1.02,0.37,0.28,1.38,0.55,0.09
Josh Christopher,64,3.42,0.65,0.65,0.29,0.12,0.53,3.01,1.41,0.53,0.41,0.83,0.18,0.05
