Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Daniel Gafford,23,10.1,5.6,0.5,0.7,1.8,0.8,6.0,4.1,2.9,2.0,0.0,0.0,0.66
Danilo Gallinari,51,13.3,4.1,1.5,0.6,0.2,0.8,9.3,4.0,3.4,3.2,5.0,2.0,0.26
Langston Galloway,40,4.8,1.1,0.7,0.2,0.0,0.3,3.7,1.7,0.6,0.6,2.1,0.9,0.11
Darius Garland,54,17.4,2.4,6.1,1.2,0.1,3.0,14.9,6.7,2.4,2.1,4.9,1.9,0.29
Marc Gasol,52,5.0,4.1,2.1,0.5,1.1,1.0,3.7,1.7,1.0,0.7,2.3,1.0,0.18
Rudy Gay,63,11.4,4.8,1.4,0.7,0.6,1.0,10.0,4.2,1.6,1.3,4.4,1.7,0.19
Paul George,54,23.3,6.6,5.2,1.1,0.4,3.3,17.6,8.2,4.2,3.7,7.7,3.2,0.43
Taj Gibson,45,5.4,5.6,0.8,0.7,1.1,0.5,3.5,2.2,1.2,0.9,0.3,0.1,0.26
Harry Giles,38,2.8,3.5,0.8,0.2,0.3,0.5,2.6,1.1,0.7,0.4,0.6,0.2,0.14
Shai Gilgeous-Alexander,35,23.7,4.7,5.9,0.8,0.7,3.0,16.1,8.2,6.5,5.3,4.9,2.0,0.68
Anthony Gill,26,3.1,2.0,0.4,0.4,0.2,0.3,2.3,1.2,0.6,0.5,0.9,0.3,0.18
Freddie Gillespie,20,5.6,4.9,0.5,0.7,1.0,0.6,4.2,2.2,1.7,1.2,0.0,0.0,0.48
Rudy Gobert,71,14.3,13.5,1.3,0.6,2.7,1.7,8.2,5.5,5.3,3.3,0.1,0.0,0.37
Brandon Goodwin,47,4.9,1.5,2.0,0.4,0.0,0.8,4.7,1.8,0.9,0.6,2.2,0.7,0.1
Aaron Gordon,50,12.4,5.7,3.2,0.7,0.7,1.9,10.0,4.6,3.0,1.9,3.5,1.2,0.29
Aaron Gordon,25,14.6,6.6,4.2,0.6,0.8,2.7,11.7,5.1,4.2,2.6,4.5,1.7,0.64
Aaron Gordon,25,10.2,4.7,2.2,0.7,0.6,1.2,8.2,4.1,1.8,1.2,2.6,0.7,0.5
Eric Gordon,27,17.8,2.1,2.6,0.5,0.5,1.9,13.6,5.9,4.2,3.5,7.8,2.6,0.49
Devonte' Graham,55,14.8,2.7,5.4,0.9,0.1,1.5,12.2,4.6,2.9,2.4,8.7,3.3,0.26
Jerami Grant,54,22.3,4.6,2.8,0.6,1.1,2.0,17.3,7.4,6.4,5.4,6.1,2.1,0.34
Danny Green,69,9.5,3.8,1.7,1.3,0.8,1.0,7.9,3.2,0.6,0.4,6.3,2.5,0.16
Draymond Green,63,7.0,7.1,8.9,1.7,0.8,3.0,6.0,2.7,1.4,1.1,2.0,0.5,0.3
JaMychal Green,58,8.1,4.8,0.9,0.4,0.4,0.9,6.4,3.0,1.0,0.8,3.4,1.4,0.17
Javonte Green,41,3.6,1.7,0.4,0.7,0.1,0.5,2.5,1.3,1.0,0.7,0.7,0.2,0.11
Javonte Green,25,4.2,2.1,0.4,0.7,0.1,0.5,2.8,1.6,1.2,0.8,0.9,0.3,0.22
Javonte Green,16,2.6,1.2,0.4,0.6,0.3,0.4,1.9,0.9,0.6,0.6,0.5,0.2,0.23
Jeff Green,68,11.0,3.9,1.6,0.5,0.4,0.8,7.8,3.8,2.4,1.8,3.7,1.5,0.18
Josh Green,39,2.6,2.0,0.7,0.4,0.1,0.4,2.4,1.1,0.6,0.3,0.6,0.1,0.1
Blake Griffin,46,11.0,4.9,3.0,0.7,0.3,1.3,8.9,3.8,2.5,1.9,4.5,1.5,0.28
Blake Griffin,20,12.3,5.2,3.9,0.7,0.1,1.6,11.1,4.1,3.1,2.2,6.2,2.0,0.64
Blake Griffin,26,10.0,4.7,2.4,0.7,0.5,1.2,7.3,3.6,2.1,1.7,3.1,1.2,0.5
Kyle Guy,31,2.8,1.1,1.0,0.2,0.0,0.4,2.8,0.9,0.6,0.5,1.5,0.4,0.09
Rui Hachimura,57,13.8,5.5,1.4,0.8,0.1,1.2,11.4,5.4,2.8,2.2,2.4,0.8,0.24
Ashton Hagans,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
Tyrese Haliburton,58,13.0,3.0,5.3,1.3,0.5,1.6,10.7,5.0,1.0,0.8,5.1,2.1,0.27
Donta Hall,13,5.6,4.8,0.8,0.4,0.8,0.6,2.7,1.9,2.6,1.8,0.0,0.0,0.78
Josh Hall,21,4.1,2.8,1.3,0.2,0.0,1.2,4.7,1.4,2.1,1.0,1.8,0.2,0.13
R.J. Hampton,51,6.9,3.5,1.7,0.4,0.2,1.0,6.1,2.7,1.6,1.1,1.7,0.5,0.15
R.J. Hampton,25,2.6,2.0,0.6,0.2,0.1,0.4,2.4,1.0,0.5,0.4,0.7,0.2,0.14
R.J. Hampton,26,11.2,5.0,2.8,0.6,0.3,1.6,9.7,4.3,2.7,1.8,2.7,0.8,0.46
Tim Hardaway Jr.,70,16.6,3.3,1.8,0.4,0.2,0.9,13.0,5.8,2.5,2.0,7.6,3.0,0.2
James Harden,44,24.6,7.9,10.8,1.2,0.8,4.0,16.7,7.8,7.3,6.3,7.6,2.8,0.71
James Harden,8,24.8,5.1,10.4,0.9,0.8,4.3,16.9,7.5,7.5,6.6,9.0,3.1,3.42
James Harden,36,24.6,8.5,10.9,1.3,0.8,4.0,16.6,7.8,7.3,6.3,7.3,2.7,0.9
Maurice Harkless,37,5.2,2.4,1.2,0.8,0.5,0.6,4.5,1.9,1.2,0.9,2.3,0.6,0.18
Maurice Harkless,11,1.4,1.2,0.6,0.2,0.4,0.3,1.2,0.5,0.2,0.0,1.0,0.5,0.24
Maurice Harkless,26,6.9,2.9,1.4,1.1,0.6,0.7,5.8,2.5,1.6,1.3,2.8,0.7,0.33
Jared Harper,8,0.4,0.3,0.1,0.0,0.0,0.4,0.5,0.0,0.5,0.4,0.1,0.0,-0.03
Montrezl Harrell,69,13.5,6.2,1.1,0.7,0.7,1.1,8.7,5.4,3.7,2.6,0.1,0.0,0.24
Gary Harris,39,9.9,2.0,2.0,0.7,0.3,0.9,8.8,3.5,2.0,1.6,3.6,1.2,0.21
Gary Harris,19,9.7,2.5,1.7,0.9,0.2,0.7,8.2,3.6,1.6,1.2,3.9,1.3,0.49
Gary Harris,20,10.2,1.6,2.3,0.6,0.4,1.2,9.5,3.5,2.4,2.1,3.3,1.2,0.38
Jalen Harris,13,7.4,1.4,1.3,0.6,0.0,1.1,5.5,2.8,0.7,0.5,2.8,1.3,0.52
Joe Harris,69,14.1,3.6,1.9,0.7,0.2,0.9,10.2,5.2,0.9,0.7,6.4,3.1,0.21
Tobias Harris,62,19.5,6.8,3.5,0.9,0.8,1.7,14.9,7.6,3.3,2.9,3.4,1.3,0.36
Shaquille Harrison,34,2.1,1.4,0.7,0.5,0.1,0.3,2.3,0.8,0.6,0.5,0.5,0.1,0.09
Shaquille Harrison,17,1.0,0.5,0.5,0.1,0.0,0.3,1.2,0.4,0.4,0.3,0.1,0.0,0.05
Shaquille Harrison,17,3.3,2.3,0.9,0.9,0.3,0.4,3.4,1.2,0.9,0.8,0.8,0.2,0.29
Josh Hart,47,9.2,8.0,2.3,0.8,0.3,1.0,7.3,3.2,1.9,1.5,4.1,1.3,0.32
Isaiah Hartenstein,46,5.1,3.9,1.2,0.4,0.8,1.0,3.7,2.0,1.5,1.0,0.1,0.0,0.18
Isaiah Hartenstein,30,3.5,2.8,0.5,0.4,0.7,0.7,2.7,1.4,1.2,0.7,0.0,0.0,0.18
Isaiah Hartenstein,16,8.3,6.0,2.5,0.5,1.2,1.4,5.7,3.3,2.2,1.5,0.4,0.1,0.88
Udonis Haslem,1,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0
Jaxson Hayes,60,7.5,4.3,0.6,0.4,0.6,0.7,4.7,2.9,2.0,1.6,0.2,0.1,0.18
Killian Hayes,26,6.8,2.7,5.3,1.0,0.4,3.2,7.7,2.7,0.7,0.5,2.8,0.8,0.3
Gordon Hayward,44,19.6,5.9,4.1,1.2,0.3,2.1,15.0,7.1,4.2,3.5,4.7,1.9,0.46
Juancho HernangÃ³mez,52,7.2,3.9,0.7,0.4,0.1,0.5,5.8,2.5,1.9,1.2,3.2,1.1,0.15
Willy HernangÃ³mez,47,7.8,7.1,1.1,0.5,0.5,0.7,5.7,3.2,2.0,1.3,0.2,0.0,0.28
Tyler Herro,54,15.1,5.0,3.4,0.6,0.3,1.9,12.9,5.7,2.2,1.7,5.5,2.0,0.27
Buddy Hield,71,16.6,4.7,3.6,0.9,0.4,1.8,14.0,5.7,1.5,1.2,10.2,4.0,0.22
George Hill,30,8.7,2.0,2.4,0.8,0.2,1.0,6.6,3.2,1.7,1.3,2.7,1.0,0.31
George Hill,14,11.8,2.1,3.1,0.9,0.1,0.9,8.6,4.4,1.8,1.5,4.1,1.6,0.9
George Hill,16,6.0,2.0,1.9,0.7,0.2,1.2,4.8,2.1,1.6,1.2,1.4,0.6,0.41
Solomon Hill,71,4.5,3.0,1.1,0.7,0.2,0.6,4.2,1.5,0.6,0.5,3.0,1.0,0.09
Nate Hinton,21,2.0,0.4,0.4,0.3,0.1,0.2,2.0,0.7,0.5,0.3,0.9,0.2,0.07
Jaylen Hoard,19,6.1,3.4,1.3,0.7,0.3,0.9,4.6,2.3,2.2,1.5,0.6,0.0,0.42
Aaron Holiday,66,7.2,1.3,1.9,0.7,0.2,1.0,6.6,2.6,1.3,1.0,2.8,1.0,0.09
Jrue Holiday,59,17.7,4.5,6.1,1.6,0.6,2.2,13.9,7.0,2.3,1.8,4.8,1.9,0.35
Justin Holiday,72,10.5,3.6,1.7,1.0,0.6,0.8,8.7,3.6,1.2,0.9,6.3,2.4,0.16
Rondae Hollis-Jefferson,11,2.5,2.4,1.2,0.2,0.4,0.2,1.6,0.8,1.5,0.8,0.1,0.0,0.45
Richaun Holmes,61,14.2,8.3,1.7,0.6,1.6,1.2,9.4,6.0,2.8,2.2,0.2,0.0,0.35
Rodney Hood,55,4.5,1.9,1.0,0.4,0.1,0.7,4.7,1.7,0.5,0.4,2.1,0.6,0.07
Rodney Hood,38,4.7,1.9,1.2,0.5,0.1,0.8,5.3,1.9,0.3,0.2,2.2,0.7,0.11
Rodney Hood,17,3.9,1.8,0.4,0.2,0.2,0.3,3.5,1.2,0.9,0.9,1.7,0.5,0.23
Al Horford,28,14.2,6.7,3.4,0.9,0.9,1.0,12.9,5.8,0.8,0.6,5.4,2.0,0.64
Talen Horton-Tucker,65,9.0,2.6,2.8,1.0,0.3,1.6,7.5,3.4,2.0,1.5,2.0,0.6,0.15
Danuel House Jr.,36,8.8,3.7,1.9,0.6,0.4,1.0,7.6,3.1,1.8,1.1,4.3,1.5,0.26
Dwight Howard,69,7.0,8.4,0.9,0.4,0.9,1.6,4.4,2.6,3.0,1.8,0.3,0.1,0.19
Markus Howard,37,2.8,0.6,0.5,0.1,0.0,0.5,2.9,1.1,0.2,0.2,1.8,0.5,0.05
Kevin Huerter,69,11.9,3.3,3.5,1.2,0.3,1.1,10.6,4.6,0.9,0.7,5.6,2.0,0.19
Elijah Hughes,18,1.7,0.5,0.3,0.1,0.1,0.3,1.7,0.6,0.2,0.2,1.3,0.4,0.07
De'Andre Hunter,23,15.0,4.8,1.9,0.8,0.5,1.3,10.8,5.2,3.7,3.2,4.1,1.3,0.68
Chandler Hutchison,25,4.3,3.1,0.7,0.5,0.2,0.8,4.1,1.6,1.0,0.8,0.9,0.3,0.21
Chandler Hutchison,7,1.9,2.9,0.6,0.1,0.0,0.7,2.6,0.7,0.3,0.3,0.4,0.1,0.41
Chandler Hutchison,18,5.2,3.2,0.7,0.6,0.3,0.8,4.7,1.9,1.3,1.1,1.1,0.4,0.34
Serge Ibaka,41,11.1,6.7,1.8,0.2,1.1,1.1,8.9,4.5,1.3,1.0,2.8,1.0,0.37
Andre Iguodala,63,4.4,3.5,2.3,0.9,0.6,1.1,3.9,1.5,0.6,0.4,2.9,1.0,0.13
Ersan Ä°lyasova,17,3.8,1.7,0.2,0.6,0.2,0.5,3.2,1.2,0.3,0.3,2.4,1.1,0.24
Joe Ingles,67,12.1,3.6,4.7,0.7,0.2,1.7,8.4,4.1,1.3,1.1,6.1,2.7,0.23
Brandon Ingram,61,23.8,4.9,4.9,0.7,0.6,2.5,18.0,8.4,5.2,4.6,6.1,2.3,0.36
Kyrie Irving,54,26.9,4.8,6.0,1.4,0.7,2.4,20.1,10.2,4.0,3.7,7.0,2.8,0.5
Wes Iwundu,41,2.4,2.2,0.4,0.4,0.1,0.5,2.5,0.8,0.8,0.6,1.0,0.1,0.08
Wes Iwundu,23,2.1,1.9,0.4,0.4,0.1,0.3,2.3,0.7,0.6,0.5,1.0,0.1,0.13
Wes Iwundu,18,2.8,2.6,0.4,0.3,0.1,0.7,2.8,0.9,0.9,0.8,1.0,0.1,0.19
Frank Jackson,40,9.8,2.2,0.9,0.4,0.0,0.9,7.3,3.4,1.9,1.5,3.8,1.5,0.2
Jaren Jackson Jr.,11,14.4,5.6,1.1,1.1,1.6,1.4,11.4,4.8,3.8,3.2,5.5,1.5,1.38
Josh Jackson,62,13.4,4.1,2.3,0.9,0.8,2.3,11.4,4.8,3.5,2.6,4.1,1.2,0.19
Justin Jackson,34,7.2,2.3,1.5,0.4,0.1,0.9,6.5,2.6,1.1,0.9,3.4,1.1,0.19
Justin Jackson,33,7.2,2.2,1.5,0.5,0.1,0.9,6.4,2.6,1.1,0.9,3.4,1.0,0.2
Justin Jackson,1,9.0,6.0,1.0,0.0,0.0,1.0,9.0,3.0,2.0,1.0,6.0,2.0,8.0
Reggie Jackson,67,10.7,2.9,3.1,0.6,0.1,1.1,8.7,3.9,1.2,1.0,4.2,1.8,0.17
Justin James,36,3.9,0.8,0.6,0.2,0.1,0.4,3.1,1.4,1.0,0.6,1.1,0.4,0.09
LeBron James,45,25.0,7.7,7.8,1.1,0.6,3.7,18.3,9.4,5.7,4.0,6.3,2.3,0.62
Mike James,13,7.7,2.5,4.2,0.5,0.1,1.5,7.1,2.6,2.1,1.6,2.4,0.8,0.65
DaQuan Jeffries,31,4.1,2.3,0.7,0.5,0.3,0.5,3.9,1.6,0.3,0.2,2.2,0.6,0.16
DaQuan Jeffries,18,3.5,1.6,0.3,0.4,0.2,0.4,3.2,1.3,0.4,0.3,1.6,0.5,0.2
DaQuan Jeffries,13,4.9,3.2,1.2,0.6,0.5,0.5,4.8,2.0,0.1,0.1,3.0,0.8,0.55
Ty Jerome,33,10.7,2.8,3.6,0.6,0.2,1.4,8.7,3.9,1.0,0.8,5.1,2.2,0.35
Isaiah Joe,41,3.7,0.9,0.5,0.3,0.1,0.3,3.2,1.2,0.6,0.4,2.6,1.0,0.07
Alize Johnson,18,5.2,5.0,0.8,0.3,0.3,0.5,3.8,2.2,0.7,0.7,0.3,0.1,0.53
Cameron Johnson,60,9.6,3.3,1.4,0.6,0.3,0.7,8.1,3.4,1.0,0.8,5.6,2.0,0.16
James Johnson,51,7.2,3.5,1.9,0.8,0.8,1.1,6.4,2.9,1.5,0.9,2.4,0.6,0.18
James Johnson,29,5.7,3.0,1.7,0.8,0.8,0.9,5.0,2.3,1.0,0.6,2.1,0.5,0.28
James Johnson,22,9.2,4.1,2.2,0.8,0.9,1.3,8.3,3.6,2.1,1.3,2.7,0.7,0.47
Keldon Johnson,69,12.8,6.0,1.8,0.6,0.3,1.1,10.2,4.9,2.8,2.1,2.6,0.9,0.21
Stanley Johnson,61,4.4,2.5,1.5,0.9,0.3,0.9,3.8,1.5,0.9,0.7,2.2,0.7,0.1
Tyler Johnson,39,5.4,2.0,1.2,0.4,0.0,0.4,4.7,1.8,0.5,0.5,3.4,1.2,0.15
Nikola JokiÄ‡,72,26.4,10.8,8.3,1.3,0.7,3.1,18.0,10.2,5.5,4.8,3.3,1.3,0.5
Damian Jones,39,4.7,3.1,0.7,0.3,0.7,0.7,2.6,1.8,1.5,1.1,0.1,0.0,0.19
Damian Jones,14,1.6,1.3,0.3,0.1,0.4,0.4,1.1,0.6,0.8,0.4,0.1,0.0,0.17
Damian Jones,8,5.4,3.3,0.1,0.1,0.9,0.6,2.1,2.0,1.5,1.4,0.0,0.0,1.12
Damian Jones,17,6.9,4.5,1.4,0.5,1.0,0.9,4.1,2.7,2.1,1.5,0.2,0.1,0.67
Derrick Jones Jr.,58,6.8,3.5,0.8,0.6,0.9,0.6,5.2,2.5,1.6,1.0,2.3,0.7,0.15
Mason Jones,32,5.3,1.7,1.3,0.2,0.0,0.9,3.8,1.6,2.0,1.3,2.1,0.8,0.15
Mason Jones,26,5.8,2.0,1.5,0.2,0.0,1.1,4.4,1.8,2.2,1.3,2.5,0.9,0.19
Mason Jones,6,2.7,0.7,0.5,0.2,0.0,0.2,1.5,0.8,1.2,0.8,0.3,0.2,0.47
Tre Jones,37,2.5,0.6,1.1,0.2,0.0,0.4,2.1,1.0,0.5,0.5,0.1,0.1,0.08
Tyus Jones,70,6.3,2.0,3.7,0.9,0.1,0.7,5.9,2.5,0.6,0.6,2.0,0.6,0.13
DeAndre Jordan,57,7.5,7.5,1.6,0.3,1.1,1.5,4.4,3.3,1.6,0.8,0.0,0.0,0.26
Cory Joseph,63,8.2,2.5,3.4,1.0,0.3,1.3,6.8,3.2,1.4,1.1,2.1,0.7,0.16
Cory Joseph,44,6.6,2.3,2.5,0.9,0.2,1.0,5.7,2.5,1.1,0.8,2.1,0.7,0.18
Cory Joseph,19,12.0,3.2,5.5,1.2,0.5,1.8,9.3,4.7,2.2,1.9,2.0,0.7,0.83
Mfiondu Kabengele,39,2.4,1.5,0.4,0.2,0.3,0.4,2.3,0.8,0.5,0.4,1.3,0.3,0.07
Mfiondu Kabengele,23,1.2,0.6,0.2,0.1,0.1,0.3,1.4,0.4,0.3,0.2,0.8,0.2,0.03
Mfiondu Kabengele,16,4.3,2.9,0.8,0.4,0.6,0.6,3.6,1.5,0.9,0.7,2.0,0.6,0.38
Frank Kaminsky,47,6.6,4.0,1.7,0.3,0.4,0.5,5.5,2.6,1.3,0.8,1.8,0.7,0.19
Luke Kennard,63,8.3,2.6,1.7,0.4,0.1,0.8,6.6,3.1,0.5,0.4,3.6,1.6,0.14
Louis King,6,7.3,3.0,1.5,1.2,0.5,0.7,5.7,2.8,1.0,1.0,1.8,0.7,1.65
Maxi Kleber,50,7.1,5.2,1.4,0.5,0.7,0.6,5.5,2.3,0.7,0.7,4.2,1.7,0.22
Nathan Knight,33,3.8,2.2,0.2,0.3,0.3,0.5,3.0,1.1,1.7,1.3,1.0,0.2,0.12
Kevin Knox,42,3.9,1.5,0.5,0.3,0.1,0.4,3.4,1.3,0.5,0.4,2.1,0.8,0.09
John Konchar,43,4.3,3.0,1.1,0.7,0.2,0.4,3.2,1.6,0.7,0.6,1.3,0.5,0.17
Furkan Korkmaz,55,9.1,2.1,1.5,0.9,0.2,0.8,7.7,3.1,1.5,1.1,4.9,1.8,0.15
Luke Kornet,31,3.4,2.2,0.8,0.1,1.0,0.2,3.3,1.4,0.2,0.1,1.9,0.5,0.17
Luke Kornet,13,2.0,1.2,0.3,0.2,0.5,0.1,2.1,0.7,0.3,0.2,1.8,0.5,0.2
Luke Kornet,18,4.4,2.9,1.1,0.1,1.4,0.3,4.1,1.9,0.1,0.1,2.0,0.5,0.41
Rodions Kurucs,21,1.5,1.1,0.5,0.4,0.2,0.6,1.5,0.5,0.2,0.1,1.0,0.3,0.1
Rodions Kurucs,5,0.6,0.6,0.4,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.4,0.2,0.24
Rodions Kurucs,11,1.2,1.0,0.4,0.5,0.4,0.8,1.9,0.5,0.2,0.1,1.4,0.2,0.11
Rodions Kurucs,5,3.0,1.8,0.8,0.6,0.0,0.8,1.6,1.0,0.4,0.4,0.8,0.6,0.96
Kyle Kuzma,68,12.9,6.1,1.9,0.5,0.6,1.7,11.1,4.9,1.4,1.0,5.6,2.0,0.2
Anthony Lamb,24,5.5,2.9,1.0,0.3,0.2,0.8,4.9,1.9,0.9,0.8,3.0,1.0,0.25
Jeremy Lamb,36,10.1,3.6,1.5,0.9,0.6,0.6,7.7,3.3,2.1,2.0,3.6,1.4,0.32
Romeo Langford,18,3.1,1.9,0.7,0.3,0.3,0.6,3.3,1.2,0.7,0.5,1.0,0.3,0.19
Zach LaVine,58,27.4,5.0,4.9,0.8,0.5,3.5,19.4,9.8,5.1,4.4,8.2,3.4,0.43
Jake Layman,45,5.1,1.5,0.6,0.6,0.4,0.6,4.1,2.0,0.8,0.6,1.7,0.5,0.12
T.J. Leaf,7,1.7,0.7,0.1,0.3,0.1,0.3,1.4,0.7,0.3,0.3,0.0,0.0,0.27
Jalen Lecque,4,1.3,1.3,0.5,0.0,0.0,0.0,2.3,0.3,0.8,0.8,0.3,0.0,0.28
Damion Lee,57,6.5,3.2,1.3,0.7,0.1,0.5,4.8,2.2,0.8,0.7,3.4,1.4,0.15
Saben Lee,48,5.6,2.0,3.6,0.7,0.3,1.1,4.4,2.1,1.9,1.3,0.5,0.2,0.17
Alex Len,64,6.6,4.1,0.8,0.3,1.0,0.9,4.3,2.7,1.8,1.1,0.4,0.1,0.15
Alex Len,7,2.3,1.6,0.4,0.1,0.9,1.1,1.4,0.7,0.9,0.4,0.9,0.4,0.43
Alex Len,57,7.1,4.4,0.8,0.3,1.0,0.8,4.7,2.9,1.9,1.2,0.3,0.1,0.18
Kawhi Leonard,52,24.8,6.5,5.2,1.6,0.4,2.0,17.5,8.9,5.7,5.0,4.9,1.9,0.52
Meyers Leonard,3,3.3,2.3,0.7,0.0,0.0,0.7,2.3,1.0,0.7,0.3,2.3,1.0,1.3
Caris LeVert,47,20.2,4.6,5.2,1.4,0.6,2.2,17.3,7.6,3.8,3.1,5.5,1.8,0.41
Caris LeVert,12,18.5,4.3,6.0,1.1,0.5,2.2,16.7,7.3,2.8,2.2,5.3,1.8,1.52
Caris LeVert,35,20.7,4.6,4.9,1.5,0.7,2.2,17.5,7.8,4.2,3.4,5.6,1.8,0.56
Kira Lewis Jr.,54,6.4,1.3,2.3,0.7,0.2,0.6,6.2,2.4,0.9,0.8,2.2,0.7,0.12
Damian Lillard,67,28.8,4.2,7.5,0.9,0.3,3.0,19.9,9.0,7.2,6.7,10.5,4.1,0.41
Nassir Little,48,4.6,2.7,0.5,0.1,0.3,0.4,3.5,1.6,0.9,0.8,1.7,0.6,0.12
Kevon Looney,61,4.1,5.3,2.0,0.3,0.4,0.6,3.2,1.8,0.8,0.5,0.3,0.1,0.16
Brook Lopez,70,12.3,5.0,0.7,0.6,1.5,0.9,9.1,4.6,2.0,1.7,4.0,1.4,0.21
Robin Lopez,71,9.0,3.8,0.8,0.2,0.6,1.1,6.0,3.8,1.9,1.4,0.3,0.1,0.15
Didi Louzada,3,2.7,1.0,1.0,0.7,0.0,1.0,4.3,1.0,0.0,0.0,2.7,0.7,0.37
Kevin Love,25,12.2,7.4,2.5,0.6,0.1,1.5,10.1,4.1,2.0,1.7,6.2,2.3,0.6
Kyle Lowry,46,17.2,5.4,7.3,1.0,0.3,2.7,13.0,5.7,3.5,3.0,7.2,2.8,0.45
TimothÃ© Luwawu-Cabarrot,58,6.4,2.2,1.2,0.6,0.1,0.7,6.1,2.2,0.7,0.6,4.1,1.3,0.1
Trey Lyles,23,5.0,3.7,0.6,0.3,0.0,0.3,3.9,1.9,1.0,0.7,1.7,0.6,0.3
Will Magnay,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0
Thon Maker,8,3.8,2.3,0.5,0.3,0.5,0.4,2.3,1.3,1.4,1.3,0.3,0.0,0.74
ThÃ©o Maledon,65,10.1,3.2,3.5,0.9,0.2,2.2,9.4,3.5,2.1,1.6,4.8,1.6,0.14
Karim ManÃ©,10,1.1,1.4,0.4,0.0,0.2,0.3,1.3,0.3,0.5,0.4,0.2,0.1,0.17
Terance Mann,67,7.0,3.6,1.6,0.4,0.2,0.6,5.2,2.7,1.4,1.2,1.4,0.6,0.14
Nico Mannion,30,4.1,1.5,2.3,0.5,0.0,1.0,3.8,1.3,0.9,0.8,2.0,0.7,0.16
Boban MarjanoviÄ‡,33,4.7,3.9,0.3,0.1,0.2,0.4,3.7,1.9,1.2,0.9,0.2,0.0,0.2
Lauri Markkanen,51,13.6,5.3,0.9,0.5,0.3,1.0,10.2,4.9,1.8,1.5,5.8,2.3,0.27
Naji Marshall,32,7.7,4.6,2.8,0.8,0.3,1.2,6.5,2.6,2.3,1.7,2.6,0.9,0.33
Caleb Martin,53,5.0,2.7,1.3,0.7,0.2,0.6,4.8,1.8,1.2,0.8,2.4,0.6,0.11
Cody Martin,52,4.0,3.1,1.7,0.7,0.2,0.8,3.6,1.6,0.8,0.5,1.1,0.3,0.13
Jeremiah Martin,9,2.4,0.8,0.4,0.6,0.2,0.7,3.7,1.0,0.6,0.1,1.3,0.3,0.06
Kelan Martin,35,4.5,2.2,0.5,0.3,0.3,0.5,3.9,1.8,0.3,0.3,1.7,0.7,0.15
Kenyon Martin Jr.,45,9.3,5.4,1.1,0.7,0.9,0.8,7.1,3.6,1.9,1.3,2.1,0.8,0.28
Frank Mason III,4,6.3,3.0,3.0,0.0,0.0,1.3,6.0,2.3,1.8,1.3,1.3,0.5,1.7
Garrison Mathews,64,5.5,1.4,0.4,0.5,0.1,0.2,3.7,1.5,1.5,1.3,3.1,1.2,0.08
Dakota Mathias,8,6.0,0.9,1.6,0.1,0.4,0.1,6.0,2.4,0.8,0.3,3.3,1.0,0.6
Wesley Matthews,58,4.8,1.6,0.9,0.7,0.3,0.4,4.3,1.5,0.7,0.6,3.4,1.1,0.09
Tyrese Maxey,61,8.0,1.7,2.0,0.4,0.2,0.7,7.0,3.2,1.1,1.0,1.7,0.5,0.13
Skylar Mays,33,3.8,1.1,0.9,0.4,0.1,0.3,3.0,1.3,0.8,0.7,1.2,0.4,0.13
Patrick McCaw,5,1.0,0.6,0.8,0.4,0.0,0.0,0.2,0.2,0.6,0.6,0.0,0.0,0.56
CJ McCollum,47,23.1,3.9,4.7,0.9,0.4,1.4,18.8,8.6,2.8,2.3,8.9,3.6,0.44
T.J. McConnell,69,8.6,3.7,6.6,1.9,0.3,2.0,7.1,4.0,0.7,0.5,0.7,0.2,0.23
Jaden McDaniels,63,6.8,3.7,1.1,0.6,1.0,0.7,5.8,2.6,0.7,0.4,3.1,1.1,0.14
Jalen McDaniels,47,7.4,3.6,1.1,0.6,0.4,1.0,6.0,2.8,1.4,1.0,2.2,0.7,0.18
Doug McDermott,66,13.6,3.3,1.3,0.3,0.1,0.8,10.1,5.4,1.5,1.2,4.3,1.7,0.19
Sean McDermott,18,2.2,1.1,0.2,0.1,0.2,0.2,1.8,0.7,0.4,0.4,1.2,0.3,0.14
JaVale McGee,46,7.3,5.2,0.8,0.4,1.2,1.3,6.1,3.1,1.5,1.0,0.5,0.1,0.22
JaVale McGee,33,8.0,5.2,1.0,0.5,1.2,1.4,6.5,3.4,1.7,1.1,0.6,0.2,0.33
JaVale McGee,13,5.5,5.3,0.5,0.2,1.1,1.2,5.2,2.5,0.9,0.6,0.3,0.0,0.65
Rodney McGruder,16,5.7,1.4,1.0,0.5,0.1,0.4,4.4,2.3,0.5,0.4,1.5,0.7,0.38
Alfonzo McKinnie,39,3.1,1.4,0.2,0.2,0.0,0.1,2.4,1.2,0.5,0.3,1.0,0.4,0.09
Jordan McLaughlin,51,5.0,2.1,3.8,1.0,0.1,1.0,4.7,2.0,0.6,0.5,1.8,0.6,0.16
