Player,G,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PER
Jordan Bell,1,1.0,5.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0
DeAndre' Bembry,51,5.7,2.9,2.1,1.0,0.4,1.4,4.5,2.3,1.3,0.9,1.0,0.3,0.16
DÄvis BertÄns,57,11.5,2.9,0.9,0.6,0.2,0.6,8.4,3.4,2.0,1.8,7.5,3.0,0.18
Patrick Beverley,37,7.5,3.2,2.1,0.8,0.8,0.9,5.9,2.5,1.2,1.0,3.8,1.5,0.27
Saddiq Bey,70,12.2,4.5,1.4,0.7,0.2,0.9,9.9,4.0,2.1,1.8,6.6,2.5,0.17
Tyler Bey,18,1.0,1.1,0.2,0.0,0.1,0.2,1.2,0.4,0.3,0.2,0.2,0.1,0.07
Khem Birch,67,7.2,5.8,1.3,0.7,0.7,0.7,5.7,2.8,1.9,1.4,0.8,0.2,0.17
Khem Birch,48,5.3,5.1,1.1,0.7,0.6,0.5,4.4,2.0,1.8,1.3,0.4,0.1,0.2
Khem Birch,19,11.9,7.6,1.9,0.8,1.2,1.1,9.0,5.0,2.3,1.5,1.6,0.5,0.92
Goga Bitadze,45,5.1,3.3,0.8,0.2,1.3,0.4,4.3,1.8,1.4,1.0,1.8,0.4,0.16
Bismack Biyombo,66,5.0,5.3,1.2,0.3,1.1,1.1,3.7,2.2,1.6,0.7,0.0,0.0,0.14
Nemanja Bjelica,37,6.5,3.4,1.9,0.4,0.1,0.9,5.3,2.4,1.4,1.0,2.3,0.7,0.22
Nemanja Bjelica,26,7.2,3.8,1.9,0.3,0.1,1.1,5.8,2.7,1.6,1.2,2.2,0.7,0.33
Nemanja Bjelica,11,5.0,2.5,1.8,0.6,0.3,0.5,4.2,1.8,0.8,0.5,2.5,0.9,0.64
Eric Bledsoe,71,12.2,3.4,3.8,0.8,0.3,1.6,10.3,4.3,2.7,1.9,5.0,1.7,0.17
Keljin Blevins,17,0.7,0.6,0.2,0.1,0.0,0.3,1.2,0.3,0.0,0.0,0.5,0.1,0.02
Bogdan BogdanoviÄ‡,44,16.4,3.6,3.3,1.1,0.3,1.2,12.8,6.1,1.0,0.9,7.6,3.3,0.38
Bojan BogdanoviÄ‡,72,17.0,3.9,1.9,0.6,0.1,1.8,12.8,5.6,3.7,3.2,6.4,2.5,0.19
Bol Bol,32,2.2,0.8,0.2,0.1,0.3,0.4,1.8,0.8,0.5,0.3,0.8,0.3,0.06
Marques Bolden,6,1.2,1.0,0.0,0.3,0.3,0.3,0.5,0.2,1.3,0.8,0.0,0.0,0.28
Jordan Bone,14,4.0,1.7,1.3,0.1,0.0,0.2,3.9,1.6,0.0,0.0,2.3,0.7,0.33
Isaac Bonga,40,2.0,1.7,0.6,0.3,0.2,0.6,2.0,0.8,0.2,0.1,1.2,0.3,0.07
Devin Booker,67,25.6,4.2,4.3,0.8,0.2,3.1,19.2,9.3,5.9,5.1,5.5,1.9,0.32
Chris Boucher,60,13.6,6.7,1.1,0.6,1.9,0.8,9.3,4.8,3.2,2.5,3.9,1.5,0.3
Brian Bowen,6,0.5,0.5,0.0,0.0,0.0,0.0,0.7,0.2,0.2,0.2,0.2,0.0,0.08
Avery Bradley,27,6.4,2.1,1.7,0.8,0.1,1.0,6.3,2.4,0.6,0.4,3.7,1.2,0.22
Avery Bradley,10,8.5,1.8,1.4,0.7,0.1,0.9,6.6,3.1,0.9,0.7,3.8,1.6,0.79
Avery Bradley,17,5.2,2.3,1.9,0.8,0.1,1.1,6.2,1.9,0.4,0.3,3.7,1.0,0.28
Tony Bradley,42,7.1,5.7,0.9,0.4,0.7,0.8,4.7,3.1,1.3,0.9,0.1,0.0,0.29
Tony Bradley,20,5.5,5.2,0.9,0.3,0.7,0.3,3.8,2.6,0.6,0.4,0.1,0.0,0.55
Tony Bradley,22,8.7,6.1,0.9,0.4,0.8,1.2,5.5,3.6,2.0,1.4,0.1,0.0,0.6
Jarrell Brantley,28,2.3,1.0,0.5,0.3,0.1,0.3,1.9,0.9,0.1,0.1,1.0,0.4,0.1
Ignas Brazdeikis,13,7.0,3.5,1.3,0.3,0.2,0.9,6.4,2.7,1.1,0.8,2.2,0.8,0.57
Ignas Brazdeikis,4,0.5,0.5,0.3,0.0,0.0,0.3,0.3,0.0,0.5,0.5,0.0,0.0,0.18
Ignas Brazdeikis,1,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,-1.0
Ignas Brazdeikis,8,11.1,5.1,2.0,0.5,0.4,1.4,9.9,4.4,1.5,1.0,3.4,1.4,1.46
Mikal Bridges,72,13.5,4.3,2.1,1.1,0.9,0.8,9.3,5.0,1.8,1.5,4.4,1.9,0.23
Miles Bridges,66,12.7,6.0,2.2,0.7,0.8,1.6,9.4,4.7,1.7,1.5,4.4,1.8,0.24
Amida Brimah,5,2.6,1.6,0.2,0.0,1.0,0.8,1.6,1.0,0.6,0.6,0.0,0.0,0.8
Oshae Brissett,21,10.9,5.5,0.9,0.9,1.0,0.5,7.2,3.5,3.1,2.4,3.7,1.6,0.68
Malcolm Brogdon,56,21.2,5.3,5.9,0.9,0.3,2.1,17.5,7.9,3.2,2.7,6.7,2.6,0.38
Armoni Brooks,20,11.2,3.4,1.5,0.6,0.3,1.1,9.6,3.9,0.6,0.4,7.9,3.0,0.5
Dillon Brooks,67,17.2,2.9,2.3,1.2,0.4,1.8,15.4,6.4,2.9,2.4,5.6,1.9,0.19
Bruce Brown,65,8.8,5.4,1.6,0.9,0.4,0.8,6.5,3.6,1.8,1.3,0.9,0.3,0.2
Charlie Brown Jr.,9,4.4,1.9,1.0,0.4,0.2,0.7,4.8,1.4,1.1,1.0,2.3,0.6,0.41
Jaylen Brown,58,24.7,6.0,3.4,1.2,0.6,2.7,19.2,9.3,4.3,3.3,7.1,2.8,0.38
Moses Brown,43,8.6,8.9,0.2,0.7,1.1,1.0,6.2,3.4,2.9,1.8,0.0,0.0,0.34
Sterling Brown,51,8.2,4.4,1.4,0.7,0.2,0.8,6.6,2.9,0.6,0.5,4.2,1.8,0.2
Troy Brown Jr.,34,4.7,3.1,0.9,0.3,0.2,0.6,4.2,1.8,0.6,0.4,2.1,0.6,0.18
Troy Brown Jr.,21,4.3,2.9,0.9,0.1,0.2,0.8,4.2,1.6,0.7,0.5,2.2,0.7,0.23
Troy Brown Jr.,13,5.5,3.4,0.8,0.5,0.2,0.4,4.2,2.2,0.5,0.4,1.8,0.6,0.61
Jalen Brunson,68,12.6,3.4,3.5,0.5,0.0,1.2,9.2,4.8,2.2,1.8,2.9,1.2,0.21
Elijah Bryant,1,16.0,6.0,3.0,0.0,1.0,4.0,13.0,6.0,3.0,3.0,5.0,1.0,15.0
Thomas Bryant,10,14.3,6.1,1.5,0.4,0.8,1.1,9.1,5.9,2.4,1.6,2.1,0.9,1.8
