Player,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FGA,FG,FTA,FT,3PA,3P,PF,PER
Aaron Gordon,26,75,75,31.7,15.0,5.9,2.5,0.6,0.6,1.8,11.1,5.8,3.1,2.3,3.5,1.2,2.0,0.22
Aaron Henry,22,6,0,2.8,0.3,0.2,0.0,0.0,0.3,0.3,0.8,0.2,0.0,0.0,0.2,0.0,0.3,-0.02
Aaron Holiday,75,126,30,48.7,19.2,6.0,7.7,2.1,0.3,3.4,16.2,7.1,3.5,3.0,4.8,1.9,4.5,0.18
Ahmad Caver,25,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Al Horford,35,69,69,29.1,10.2,7.7,3.4,0.7,1.3,0.9,8.2,3.9,1.4,1.2,3.8,1.3,1.9,0.26
Alec Burks,30,81,44,28.6,11.7,4.9,3.0,1.0,0.3,1.1,9.0,3.5,3.3,2.7,4.8,1.9,2.7,0.17
Aleem Ford,24,5,0,14.8,2.8,3.0,0.4,0.2,0.0,0.8,4.0,1.2,0.0,0.0,3.0,0.4,1.4,0.56
Alex Caruso,27,41,18,28.0,7.4,3.6,4.0,1.7,0.4,1.4,6.2,2.5,1.8,1.4,3.1,1.0,2.6,0.28
Alex Len,28,39,10,15.9,6.0,4.1,1.2,0.3,0.6,1.1,4.5,2.4,1.6,1.1,0.5,0.2,2.6,0.22
Alize Johnson,100,46,0,27.9,7.2,12.3,1.2,0.9,0.0,2.3,7.6,3.0,2.2,1.4,1.0,0.0,2.5,0.3
Amir Coffey,24,69,30,22.7,9.0,2.9,1.8,0.6,0.2,0.7,6.8,3.1,1.7,1.5,3.7,1.4,1.3,0.14
Andre Drummond,84,146,72,60.4,25.8,28.4,5.2,3.1,2.8,4.7,18.9,11.0,7.3,3.9,0.0,0.0,8.1,0.34
Andre Iguodala,38,31,0,19.5,4.0,3.2,3.7,0.9,0.7,0.9,3.9,1.5,0.6,0.5,2.4,0.5,1.1,0.29
Anthony Davis,28,40,40,35.1,23.2,9.9,3.1,1.2,2.3,2.1,17.4,9.3,6.1,4.4,1.8,0.3,2.4,0.7
Anthony Edwards,20,72,72,34.3,21.3,4.8,3.8,1.5,0.6,2.6,17.3,7.6,3.9,3.1,8.4,3.0,2.3,0.26
Anthony Gill,29,44,0,10.5,4.1,1.9,0.6,0.1,0.3,0.4,2.5,1.4,1.2,1.0,0.6,0.3,1.3,0.12
Anthony Lamb,24,2,0,4.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25
Armoni Brooks,69,108,22,44.2,14.1,5.6,3.3,1.5,0.6,1.4,14.4,4.7,1.1,0.9,12.6,3.8,4.0,0.13
Arnoldas Kulboka,24,2,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,-0.25
Avery Bradley,31,62,45,22.7,6.4,2.2,0.8,0.9,0.1,0.6,5.6,2.4,0.3,0.3,3.4,1.3,1.9,0.11
Ayo Dosunmu,22,77,40,27.4,8.8,2.8,3.3,0.8,0.4,1.4,6.9,3.6,1.0,0.7,2.4,0.9,2.4,0.14
B.J. Johnson,26,4,0,16.3,6.5,3.8,0.0,0.0,0.3,0.0,6.3,2.8,0.0,0.0,2.5,1.0,1.0,1.78
Bam Adebayo,24,56,56,32.6,19.1,10.1,3.4,1.4,0.8,2.6,13.0,7.3,6.1,4.6,0.1,0.0,3.1,0.45
Bismack Biyombo,29,36,3,14.1,5.8,4.6,0.6,0.3,0.7,0.7,4.0,2.4,2.0,1.1,0.0,0.0,1.9,0.24
Blake Griffin,32,56,24,17.1,6.4,4.1,1.9,0.5,0.3,0.6,5.6,2.4,1.4,1.0,2.6,0.7,1.7,0.16
Boban MarjanoviÄ‡,33,23,0,5.6,4.3,1.7,0.1,0.0,0.1,0.7,3.0,1.8,1.0,0.6,0.2,0.0,1.0,0.17
Bogdan BogdanoviÄ‡,29,63,27,29.3,15.1,4.0,3.1,1.1,0.2,1.1,12.6,5.4,1.8,1.5,7.3,2.7,2.1,0.24
Bojan BogdanoviÄ‡,32,69,69,30.9,18.1,4.3,1.7,0.5,0.0,1.7,13.4,6.1,3.8,3.2,6.8,2.6,1.7,0.22
Bol Bol,22,14,0,5.8,2.4,1.4,0.4,0.1,0.1,0.3,1.9,1.1,0.4,0.1,0.3,0.1,0.3,0.21
Bones Hyland,21,69,4,19.0,10.1,2.7,2.8,0.6,0.3,1.2,8.3,3.3,1.8,1.6,5.2,1.9,2.2,0.15
Bradley Beal,28,40,40,36.0,23.2,4.7,6.6,0.9,0.4,3.4,19.3,8.7,5.1,4.2,5.3,1.6,2.4,0.52
Brandon Boston Jr.,20,51,0,14.9,6.7,2.2,1.0,0.5,0.3,0.6,6.4,2.5,1.4,1.2,2.2,0.7,0.8,0.12
Brandon Clarke,25,64,1,19.5,10.4,5.3,1.3,0.6,1.1,0.5,7.0,4.5,2.0,1.3,0.3,0.1,1.9,0.23
Brandon Goodwin,26,36,5,13.9,4.8,1.9,2.5,0.7,0.0,1.0,4.3,1.8,1.1,0.7,1.5,0.5,1.1,0.17
Brandon Ingram,24,55,55,34.0,22.7,5.8,5.6,0.6,0.5,2.7,17.9,8.2,5.9,4.8,4.1,1.3,2.2,0.39
Brandon Knight,30,5,0,13.0,6.4,1.6,1.6,0.2,0.0,0.8,5.0,2.0,1.6,1.6,3.4,0.8,1.0,1.2
Braxton Key,72,22,0,42.1,16.8,10.8,2.6,2.4,2.2,3.0,15.3,7.1,2.6,1.4,4.6,1.2,5.7,1.02
Brook Lopez,33,13,11,22.9,12.4,4.1,0.5,0.6,1.2,0.9,10.1,4.7,1.8,1.5,4.1,1.5,2.6,0.94
